ReadID,PartialType
557_Z2SFTS_1,partial_P5
558_Z2SFTS_1,partial_P5
559_Z2SFTS_1,partial_P5
561_Z2SFTS_1,partial_P5
563_Z2SFTS_1,partial_P5
564_Z2SFTS_1,partial_P5
565_Z2SFTS_1,partial_P5
566_Z2SFTS_1,partial_P5
568_Z2SFTS_1,partial_P5
569_Z2SFTS_1,partial_P5
570_Z2SFTS_1,partial_P5
571_Z2SFTS_1,partial_P5
572_Z2SFTS_1,partial_P7
573_Z2SFTS_1,partial_P5
574_Z2SFTS_1,partial_P5
575_Z2SFTS_1,partial_P5
576_Z2SFTS_1,partial_P7
577_Z2SFTS_1,partial_P5
579_Z2SFTS_1,partial_P5
580_Z2SFTS_1,partial_P5
582_Z2SFTS_1,partial_P5
583_Z2SFTS_1,partial_P5
585_Z2SFTS_1,partial_P5
586_Z2SFTS_1,partial_P5
587_Z2SFTS_1,partial_P7
588_Z2SFTS_1,partial_P5
590_Z2SFTS_1,partial_P7
591_Z2SFTS_1,partial_P7
593_Z2SFTS_1,partial_P5
594_Z2SFTS_1,partial_P5
595_Z2SFTS_1,partial_P5
596_Z2SFTS_1,partial_P5
597_Z2SFTS_1,partial_P5
598_Z2SFTS_1,partial_P5
599_Z2SFTS_1,partial_P7
600_Z2SFTS_1,partial_P7
601_Z2SFTS_1,partial_P5
605_Z2SFTS_1,partial_P5
606_Z2SFTS_1,partial_P5
607_Z2SFTS_1,partial_P7
608_Z2SFTS_1,partial_P5
609_Z2SFTS_1,partial_P7
612_Z2SFTS_1,partial_P5
613_Z2SFTS_1,both_partial
614_Z2SFTS_1,partial_P5
616_Z2SFTS_1,partial_P5
619_Z2SFTS_1,partial_P7
621_Z2SFTS_1,partial_P5
622_Z2SFTS_1,partial_P5
623_Z2SFTS_1,partial_P5
624_Z2SFTS_1,partial_P5
625_Z2SFTS_1,partial_P7
627_Z2SFTS_1,partial_P5
628_Z2SFTS_1,partial_P5
630_Z2SFTS_1,partial_P5
631_Z2SFTS_1,both_partial
632_Z2SFTS_1,partial_P5
633_Z2SFTS_1,partial_P5
634_Z2SFTS_1,partial_P7
635_Z2SFTS_1,partial_P5
637_Z2SFTS_1,both_partial
638_Z2SFTS_1,both_partial
639_Z2SFTS_1,partial_P5
640_Z2SFTS_1,partial_P7
641_Z2SFTS_1,partial_P5
643_Z2SFTS_1,partial_P5
648_Z2SFTS_1,partial_P5
650_Z2SFTS_1,partial_P5
654_Z2SFTS_1,partial_P5
657_Z2SFTS_1,both_partial
658_Z2SFTS_1,partial_P5
659_Z2SFTS_1,partial_P5
660_Z2SFTS_1,partial_P7
662_Z2SFTS_1,partial_P5
664_Z2SFTS_1,partial_P5
665_Z2SFTS_1,partial_P7
666_Z2SFTS_1,partial_P5
667_Z2SFTS_1,partial_P5
668_Z2SFTS_1,partial_P7
670_Z2SFTS_1,partial_P5
671_Z2SFTS_1,partial_P5
673_Z2SFTS_1,partial_P7
674_Z2SFTS_1,partial_P5
677_Z2SFTS_1,partial_P5
678_Z2SFTS_1,partial_P5
680_Z2SFTS_1,partial_P5
682_Z2SFTS_1,partial_P5
685_Z2SFTS_1,partial_P5
686_Z2SFTS_1,partial_P7
687_Z2SFTS_1,partial_P5
689_Z2SFTS_1,partial_P5
690_Z2SFTS_1,partial_P5
691_Z2SFTS_1,partial_P5
692_Z2SFTS_1,both_partial
694_Z2SFTS_1,both_partial
695_Z2SFTS_1,partial_P5
696_Z2SFTS_1,partial_P7
697_Z2SFTS_1,partial_P5
698_Z2SFTS_1,both_partial
699_Z2SFTS_1,partial_P7
700_Z2SFTS_1,partial_P5
